Name,Area,City,Location,,,Longitude,Latitude
Galaxy Pets Clinic Dr Ashok Vinchurkar,Trimurti Nagar,Nagpur,https://goo.gl/maps/hBpaV2fKpTG7UZGE6,,,21.115368,79.042874
Metro Animals Clinic,Mankapur,Nagpur,https://goo.gl/maps/5BK786uRXZn3yijYA,,,21.186617,79.079347
Animal Health Care Center,CA Road,Nagpur,https://goo.gl/maps/xHaKMDxzALopsqLX8,,,21.149003,79.114914
Precise Pet Clinic & Accessories,Pratap Nagar,Nagpur,https://goo.gl/maps/HSgxJSAbHLxnCGDdA,,,21.114036,79.056312
Dog Cat And Birds Clinic,Chhatrapati Nagar,Nagpur,https://goo.gl/maps/NcnzdnCB8Ad2krLfA,,,21.111039,79.068647
Amol Dog Clinic,Narendra Nagar,Nagpur,https://goo.gl/maps/X9Qbfy9oHwZ6NbU19,,,21.106469,79.085865
Dr. Kailash Marwah,Dharampeth,Nagpur,https://goo.gl/maps/xS9C7coT4CgTbvSo7,,,21.140333,79.056975
Dr. Mahajan Rajendra (Dog & Animal Care Centre),Dharampeth,Nagpur,https://goo.gl/maps/oZxKhofGNEMkN1TN7,,,21.138999,79.063093
Dog & Animal Care Center,Dharampeth,Nagpur,https://goo.gl/maps/czTCwhYU8TEq1WJ98,,,21.137416,79.066315
Premier Pet Clinic And Gold Aquariums,Suyog Nagar,Nagpur,https://goo.gl/maps/GcywWB57pLD9kaBV9,,,21.107029,79.082581
Dr. Anand Gajbhiye,Indora,Nagpur,https://goo.gl/maps/7mWLGZ1AyQ5MFC4t7,,,21.30599,79.500618
Mahi Pets Shop & Clinic,Sakkardara,Nagpur,https://goo.gl/maps/oLB5hyhG9oZzX8jq5,,,21.13243,79.112855
Nagpur Veterinary Hospital,Ambazari Road,Nagpur,https://goo.gl/maps/wKhKpV8Uat8inJZk9,,,21.138041,79.068229
Dr. Marwah Small Animal Clinic,Shivaji Nagar,Nagpur,https://goo.gl/maps/1wuakmARec4T9u13A,,,21.140338,79.057137
Dr. G R Pangaonkar,Laxmi Nagar,Nagpur,https://goo.gl/maps/Hd2FT7zvcpTxG6hFA,,,21.125445,79.063561
Dr. Siraaj Khan's Pet Clinic,Mankapur,Nagpur,https://goo.gl/maps/su4FgGEkqMghyVLj7,,,21.18216,79.061045
Dr. Kate's Pet Clinic,Dhantoli,Nagpur,https://goo.gl/maps/JsWeUfqVqUpSDuym7,,,21.130839,79.080559
Royal Pet Clinic,Byrajim Town,Nagpur,https://goo.gl/maps/U7xYnx33see3ZcDm6,,,21.173285,79.083815
Real Care Small Animal  Clinic,Jaitala ,Nagpur,https://goo.gl/maps/yLGFAMpBW8MAjJ876,,,21.118653,79.033156
Real Care Small Animal  Clinic - Dr Makarand Dixit,Parsodi,Nagpur,https://goo.gl/maps/ep7yFjWkWQ6hc4cF6,,,21.118618,79.033263
Dr Itankar Pet Clinic,Nandanwan,Nagpur,https://goo.gl/maps/GBDFNzC9gtSUmkKx5,,,21.130817,79.119817
Orange City Pet Clinic,Vaishali Nagar,Nagpur,https://goo.gl/maps/rCm15e8LrNmvbwds5,,,21.168585,79.106237
Dr Sunny Magar's Pet Clinic,Wanadongri,Nagpur,https://goo.gl/maps/eQ2JrP2QPzYx322R7,,,21.078687,78.97283
Dr Swaroop Chandel,Ram Nagar,Nagpur,https://goo.gl/maps/qdhwcw4yazATfRPk6,,,21.136219,79.049598
Dr Shriram Patil PET Doctor,Narendra Nagar,Nagpur,https://goo.gl/maps/CnpaHmJiUKvYPrVE6,,,21.108341,79.076592
Dr Swapnil Nagmote,Chatrapati Nagar,Nagpur,https://goo.gl/maps/sEbtmh6VT8baUw648,,,21.110511,79.07402
Dr Prabhu  Raut (friend's Health Clinic),Katol Road,Nagpur,https://goo.gl/maps/Z3eeHKe2mbc34BCX8,,,21.177502,79.045862
Sai Pet Clinic,Hingna,Nagpur,https://goo.gl/maps/dWxcJPpZK92oJfp46,,,21.110901,79.002288
Dr Dhabale Prakash,Nandanvan,Nagpur,https://goo.gl/maps/NV3gepMrTvPc9wD3A,,,21.134301,79.125217
Pet clinic and accessories,Hanuman Nagar,Nagpur,https://goo.gl/maps/mxTjvzhKBX86JMgGA,,,21.125653,79.102839
Dr R M Mahajan,Dharampeth,Nagpur,https://goo.gl/maps/SCYyXkEZCekQScjWA,,,21.138999,79.063093
Vets World Pet Clinic,Timbar Bhawan,Nagpur,https://goo.gl/maps/hDTx6wHRxDxtasgk6,,,21.149561,79.123658
Petsaccurate,Mhalgi nagar,Nagpur,https://goo.gl/maps/tyg78nK6C8dq4Wy97,,,21.108036,79.119353
District Veterinary Polyclinic,Sitabuldi,Nagpur,https://goo.gl/maps/58wA246CkvJUFsVs9,,,21.144889,79.07663
Pet Care Clinic,Gopal Nagar,Nagpur,https://goo.gl/maps/ZGMrZmgSoajfLm2LA,,,21.113737,79.048675
Nagpur Pashu Vaidyakiya Mahavidyalay,Police Line Takli,Nagpur,https://goo.gl/maps/itq7zV1fDTPPqrB39,,,21.138031,79.068219
Cat and Dog Clinic ,old Subedar Layout,Nagpur,https://goo.gl/maps/hVkZuagvZL88MV2p8,,,21.117605,79.109665
Dr Umar Khan,Mankapur,Nagpur,https://goo.gl/maps/UPhT8Yjgnes5PAij7,,,21.185895,79.078316
Dr Kayande Pet Clinic,Chandrakiran Nagar,Nagpur,https://goo.gl/maps/b6MHSh2aaQj2o6299,,,21.095568,79.126836
Ashoka Veterinary Pharma Limited,Ganesh Peth,Nagpur,https://goo.gl/maps/CjFGC73xg4qmbjCx5,,,21.141837,79.095725
Dr. Pradnay Taksande (Vet Care Centre),Sadar Bazar,Nagpur,https://goo.gl/maps/xgcZsqaHXGEEuJZj6,,,21.1622867,79.0775621
Skyline Small animal Clinic,Zingabai Takali,Nagpur,https://goo.gl/maps/9GpuaoDBmEPHw7YT9,,,21.205193,79.066635
Vet Care Centre,Sadar Bazar,Nagpur,https://goo.gl/maps/HUTR7Hx9MhSAJv846,,,21.162287,79.077562
Pet Wellness Clinic ,Shraddhanandpeth,Nagpur,https://goo.gl/maps/EZygn5uoAkPPURBCA,,,21.123494,79.058205
Dog Health Care Clinic,Trimurti Nagar,Nagpur,https://goo.gl/maps/tBJTsPfCx5hsguPp8,,,21.116261,79.037889
Dr Kailash,Shivaji Nagar,Nagpur,https://goo.gl/maps/bgmU2gGwM5zgPrrx7,,,21.140456,79.056945
Dr Pradnay Taksande,Sadar Bazar,Nagpur,https://goo.gl/maps/Mt7y7t63jtvYQsRL7,,,21.162287,79.077562
Kanak Pet Clinic,Nagpur Airport,Nagpur,https://goo.gl/maps/pWKtcXRBYhXLBsiKA,,,21.0784,79.063013
Petazoo Premier Pet Clinic ,Sadar Bazar,Nagpur,https://goo.gl/maps/oZdJmRpaysNWVc3U7,,,21.144951,79.082369
